"id","user_id","recorded_at","latitude","longitude","accuracy","speed","heading","altitude","activity_type","activity_confidence","is_moving","battery_level","is_charging","distance_from_previous","created_at"
"119075",8558,"2026-03-06 19:29:03.184+00","40.18487980","71.73632560",NULL,"0.07",NULL,NULL,NULL,NULL,False,NULL,NULL,"8.51","2026-03-06 19:29:05.25932+00"
"119074",8558,"2026-03-06 19:20:44.202+00","40.18487270","71.73642540",NULL,"0.08",NULL,NULL,NULL,NULL,False,NULL,NULL,"20.41","2026-03-06 19:20:45.28146+00"
"119073",8558,"2026-03-06 19:20:25.269+00","40.18469030","71.73639890",NULL,"0.18",NULL,NULL,NULL,NULL,False,NULL,NULL,"21.07","2026-03-06 19:20:26.401199+00"
"119072",8558,"2026-03-06 19:20:22.993+00","40.18450340","71.73644000",NULL,"0.00",NULL,NULL,NULL,NULL,False,NULL,NULL,"57.97","2026-03-06 19:20:24.196323+00"
"119071",8558,"2026-03-06 16:38:33.171+00","40.18499330","71.73620670",NULL,"0.28",NULL,NULL,NULL,NULL,False,NULL,NULL,"10.07","2026-03-06 18:01:59.085862+00"
"119070",8558,"2026-03-06 16:38:17.167+00","40.18505500","71.73612000",NULL,"0.22",NULL,NULL,NULL,NULL,False,NULL,NULL,"10.17","2026-03-06 18:01:59.085862+00"
"119069",8558,"2026-03-06 16:38:09.167+00","40.18499330","71.73603170",NULL,"0.15",NULL,NULL,NULL,NULL,False,NULL,NULL,"32.83","2026-03-06 18:01:59.085862+00"
"119068",8558,"2026-03-06 16:38:08.521+00","40.18471670","71.73589670",NULL,"0.18",NULL,NULL,NULL,NULL,False,NULL,NULL,"41.79","2026-03-06 18:01:59.08586+00"
"119066",8558,"2026-03-06 16:38:07.172+00","40.18500000","71.73622000",NULL,"0.43",NULL,NULL,NULL,NULL,False,NULL,NULL,"20.08","2026-03-06 18:01:59.085859+00"
"119067",8558,"2026-03-06 16:38:07.172+00","40.18500000","71.73622000",NULL,"0.43",NULL,NULL,NULL,NULL,False,NULL,NULL,"0.00","2026-03-06 18:01:59.085859+00"
"119065",8558,"2026-03-06 16:35:00.166+00","40.18484830","71.73609170",NULL,"2.58",NULL,NULL,NULL,NULL,False,NULL,NULL,"23.96","2026-03-06 18:01:59.085859+00"
"119064",8558,"2026-03-06 16:34:54.167+00","40.18502830","71.73593670",NULL,"3.01",NULL,NULL,NULL,NULL,False,NULL,NULL,"22.43","2026-03-06 18:01:59.085858+00"
"119063",8558,"2026-03-06 16:34:50.169+00","40.18523000","71.73593830",NULL,"7.27",NULL,NULL,NULL,NULL,False,NULL,NULL,"24.46","2026-03-06 18:01:59.085858+00"
